     149 WR     0x004C4 = 0x0801003C
     150 ORACLE 0x00350 = 0x00000018
     151 WR     0x00350 = 0x00000218
     152 ORACLE 0x003F0 = 0x00000100
     153 WR     0x003F0 = 0x00000100
     154 WR     0x064B8 = 0x00000000
     155 WR     0x06410 = 0x00000000
     156 WR     0x06428 = 0x0000000F
     157 WR     0x065EC = 0x00001C1C
     158 WR     0x060E0 = 0x30000000
     159 ORACLE 0x05DF8 = 0x00000000
     160 WR     0x05DF4 = 0x00002000
     161 WR     0x05DF0 = 0x100010FF
     162 ORACLE 0x00BE8 = 0x00000000
     163 WR     0x00BE8 = 0x00000002
     164 ORACLE 0x06EF8 = 0x00000000
     165 WR     0x06EF8 = 0x00000002
     166 ORACLE 0x06B00 = 0x00010000
     167 WR     0x06B00 = 0x02010000
     168 ORACLE 0x06A44 = 0x00000015
     169 WR     0x06A44 = 0x00000011
     170 ORACLE 0x069F4 = 0x00000000
     171 WR     0x069F4 = 0x00000001
     172 ORACLE 0x06CD0 = 0x00003000
     173 WR     0x06CD0 = 0x00003001
     174 WR     0x06BD8 = 0x00000001
     175 ORACLE 0x06ED8 = 0x00000000
     176 WR     0x06ED8 = 0x00010000
     177 WR     0x06CC4 = 0x04000800
     178 ORACLE 0x06F14 = 0x00000000
     179 WR     0x06F14 = 0x00000006
     180 ORACLE 0x06E18 = 0x00000003
     181 WR     0x06E18 = 0x00000004
     182 ORACLE 0x06E70 = 0x00400110
     183 WR     0x06E70 = 0x00400310
     184 ORACLE 0x06E70 = 0x00400310
     185 WR     0x06E70 = 0x00400310
     186 ORACLE 0x06E70 = 0x00400310
     187 ORACLE 0x06DF0 = 0x00006260
     188 WR     0x06DF0 = 0x00006260
     189 ORACLE 0x06EA4 = 0x00000000
     190 WR     0x06EA4 = 0x00000000
     191 ORACLE 0x00BEC = 0x00000000
     192 WR     0x00BEC = 0x00000002
     193 ORACLE 0x07AF8 = 0x00000000
     194 WR     0x07AF8 = 0x00000002
     195 ORACLE 0x07700 = 0x00010000
     196 WR     0x07700 = 0x02010000
     197 ORACLE 0x07644 = 0x00000015
     198 WR     0x07644 = 0x00000011
     199 ORACLE 0x075F4 = 0x00000000
     200 WR     0x075F4 = 0x00000001
     201 ORACLE 0x078D0 = 0x00003000
     202 WR     0x078D0 = 0x00003001
     203 WR     0x077D8 = 0x00000001
     204 ORACLE 0x07AD8 = 0x00000000
     205 WR     0x07AD8 = 0x00010000
     206 WR     0x078C4 = 0x04000800
     207 ORACLE 0x07B14 = 0x00000000
     208 WR     0x07B14 = 0x00000006
     209 ORACLE 0x07A18 = 0x00000003
     210 WR     0x07A18 = 0x00000004
